timestamp,cpu_percent,memory_percent,memory_available_mb,disk_write_mbps,process_count
2026-08-02 15:02:27,21.1,82.0,2187.55,0.12,235
2026-08-02 15:02:33,25.7,82.8,2094.01,0.3,236
2026-08-02 15:02:37,32.4,82.1,2171.88,0.23,236
2026-08-02 15:02:42,20.3,82.3,2153.11,0.24,236
2026-08-02 15:02:47,21.8,82.8,2087.77,0.2,236
2026-08-02 15:02:52,14.7,83.3,2032.16,0.35,236
2026-08-02 15:02:57,16.0,82.9,2082.3,0.24,236
2026-08-02 15:03:02,31.2,81.8,2208.59,0.52,235
2026-08-02 15:03:07,33.5,82.6,2119.05,0.21,238
2026-08-02 15:03:12,33.8,82.5,2127.92,4.71,235
2026-08-02 15:03:17,33.2,83.7,1983.48,0.24,236
2026-08-02 15:03:22,31.8,82.5,2132.54,0.31,236
2026-08-02 15:03:27,24.4,82.6,2121.88,0.23,236
2026-08-02 15:03:32,23.6,82.7,2109.67,0.16,236
2026-08-02 15:03:37,27.7,82.9,2079.53,0.27,236
2026-08-02 15:03:42,32.1,82.8,2092.38,0.25,236
2026-08-02 15:03:47,12.9,83.0,2070.32,0.27,236
2026-08-02 15:03:52,28.0,83.1,2060.45,0.24,236
2026-08-02 15:03:57,22.8,82.9,2079.59,0.2,236
2026-08-02 15:04:02,20.8,83.4,2025.77,0.21,236
2026-08-02 15:04:08,36.7,84.0,1942.54,0.19,239
2026-08-02 15:04:13,32.1,84.1,1935.23,0.2,239
2026-08-02 15:04:18,38.1,84.1,1940.35,0.19,236
2026-08-02 15:04:23,22.8,84.7,1856.53,0.33,236
2026-08-02 15:04:28,37.0,84.6,1874.35,0.35,236
2026-08-02 15:04:33,39.8,85.2,1802.52,0.23,235
2026-08-02 15:04:38,24.3,86.0,1703.22,0.26,234
2026-08-02 15:04:43,29.3,87.1,1572.36,0.21,234
2026-08-02 15:04:48,17.6,87.6,1508.64,0.21,234
2026-08-02 15:04:53,13.2,88.1,1448.48,0.22,235
2026-08-02 15:04:58,28.6,86.5,1648.07,0.28,235
2026-08-02 15:05:03,23.4,85.5,1763.75,0.31,235
2026-08-02 15:05:08,37.6,84.1,1933.07,0.22,234
2026-08-02 15:05:13,31.9,84.3,1909.17,0.2,234
2026-08-02 15:05:18,34.7,84.6,1871.81,0.2,234
2026-08-02 15:05:23,40.9,83.6,2001.4,0.35,233
2026-08-02 15:05:28,18.6,83.4,2019.08,0.32,233
2026-08-02 15:05:33,32.2,82.7,2106.84,0.25,233
2026-08-02 15:05:38,19.4,82.3,2151.62,0.21,233
2026-08-02 15:05:43,30.5,81.1,2298.08,0.29,232
2026-08-02 15:05:48,31.4,81.8,2215.86,0.23,232
2026-08-02 15:05:53,45.3,83.3,2029.27,0.24,232
2026-08-02 15:05:58,46.5,84.0,1952.26,0.4,233
2026-08-02 15:06:03,66.6,84.0,1949.95,0.47,233
2026-08-02 15:06:08,26.6,83.5,2001.82,0.26,233
2026-08-02 15:06:13,14.8,83.3,2026.69,0.22,233
2026-08-02 15:06:18,9.8,83.2,2044.47,0.27,233
2026-08-02 15:06:23,31.2,82.1,2183.35,0.25,233
2026-08-02 15:06:28,44.3,83.5,2003.63,0.35,233
2026-08-02 15:06:33,24.3,83.0,2071.75,0.37,232
2026-08-02 15:06:38,35.0,82.3,2150.39,0.36,232
2026-08-02 15:06:43,35.5,82.8,2094.46,0.21,233
2026-08-02 15:06:48,23.1,83.2,2041.74,0.46,233
2026-08-02 15:06:53,67.2,85.3,1783.71,2.75,233
2026-08-02 15:06:58,44.0,83.4,2017.2,0.28,233
2026-08-02 15:07:03,39.4,82.2,2170.76,0.4,233
2026-08-02 15:07:08,16.9,82.3,2154.64,0.32,233
2026-08-02 15:07:13,12.9,82.2,2171.28,0.32,232
2026-08-02 15:07:18,15.2,82.6,2117.92,0.21,233
2026-08-02 15:07:23,12.4,82.4,2138.65,0.28,232
2026-08-02 15:07:28,22.7,82.1,2179.66,0.17,232
2026-08-02 15:07:33,28.9,81.0,2309.91,0.13,232
2026-08-02 15:07:38,8.4,81.1,2303.35,0.23,232
2026-08-02 15:07:43,9.4,81.3,2276.45,0.19,232
2026-08-02 15:07:48,11.4,81.0,2316.08,0.16,231
2026-08-02 15:07:53,15.6,80.9,2324.12,0.2,232
2026-08-02 15:07:58,18.7,80.9,2322.53,0.22,232
2026-08-02 15:08:03,16.9,80.7,2348.67,0.22,232
2026-08-02 15:08:08,8.4,80.7,2352.23,0.19,232
2026-08-02 15:08:13,8.3,80.8,2334.27,0.18,232
2026-08-02 15:08:18,13.9,80.4,2384.06,0.18,232
2026-08-02 15:08:23,7.1,80.2,2406.02,0.16,232
2026-08-02 15:08:28,8.7,80.3,2397.2,0.23,232
2026-08-02 15:08:33,8.9,80.4,2387.54,0.15,232
2026-08-02 15:08:38,9.7,80.5,2373.85,0.13,232
2026-08-02 15:08:43,8.3,80.5,2366.69,0.2,232
2026-08-02 15:08:48,12.4,80.5,2376.72,0.17,232
2026-08-02 15:08:53,8.0,80.4,2385.38,0.15,232
2026-08-02 15:08:58,11.6,80.6,2365.59,0.24,232
2026-08-02 15:09:03,20.8,81.0,2314.92,5.56,233
2026-08-02 15:09:08,10.9,81.5,2250.36,0.15,234
2026-08-02 15:09:13,66.0,84.1,1936.33,2.42,234
2026-08-02 15:09:18,44.9,82.2,2165.13,1.08,234
2026-08-02 15:09:23,10.4,81.6,2235.81,0.36,234
2026-08-02 15:09:28,14.0,81.6,2239.04,2.16,234
2026-08-02 15:09:33,20.2,80.6,2355.16,1.17,234
2026-08-02 15:09:38,31.0,81.3,2278.85,0.24,234
2026-08-02 15:09:43,11.3,80.9,2321.24,0.22,234
2026-08-02 15:09:48,8.9,80.9,2326.06,0.28,234
2026-08-02 15:09:53,9.2,80.8,2334.34,0.19,234
2026-08-02 15:09:58,12.9,80.7,2349.35,0.21,234
2026-08-02 15:10:03,13.7,80.5,2377.91,0.31,233
2026-08-02 15:10:08,11.3,80.5,2373.96,0.25,232
2026-08-02 15:10:13,44.5,81.0,2311.27,0.17,232
2026-08-02 15:10:18,37.2,81.4,2262.7,0.24,233
2026-08-02 15:10:23,45.8,82.4,2142.87,0.35,233
2026-08-02 15:10:28,23.8,83.4,2015.66,0.27,233
2026-08-02 15:10:33,33.2,83.6,1998.02,0.21,233
2026-08-02 15:10:38,16.0,84.1,1939.2,0.31,233
2026-08-02 15:10:43,27.9,84.9,1836.93,0.23,236
2026-08-02 15:10:48,35.4,85.1,1808.66,0.24,232
2026-08-02 15:10:53,36.3,85.7,1736.52,0.32,235
2026-08-02 15:10:58,35.3,83.5,2005.79,0.22,232
2026-08-02 15:11:03,19.8,83.8,1975.57,0.25,232
2026-08-02 15:11:08,30.5,84.2,1923.81,0.32,232
2026-08-02 15:11:13,34.0,83.7,1978.62,4.65,232
2026-08-02 15:11:18,18.6,83.9,1960.66,0.2,232
2026-08-02 15:11:23,31.2,83.8,1971.33,0.14,232
2026-08-02 15:11:28,18.5,83.9,1955.11,0.3,232
2026-08-02 15:11:33,15.6,83.5,2013.43,0.28,232
2026-08-02 15:11:38,15.5,83.3,2035.53,0.16,232
2026-08-02 15:11:43,30.6,82.8,2088.4,0.18,232
2026-08-02 15:11:48,13.1,83.1,2053.89,0.25,232
2026-08-02 15:11:53,23.5,82.9,2075.86,0.15,232
2026-08-02 15:11:58,18.8,83.3,2025.86,0.23,232
2026-08-02 15:12:03,9.2,83.5,2012.54,0.27,232
2026-08-02 15:12:08,16.7,82.7,2107.3,0.17,233
2026-08-02 15:12:13,10.0,82.9,2080.89,0.42,233
2026-08-02 15:12:18,13.7,83.2,2041.62,0.24,233
2026-08-02 15:12:23,10.6,83.4,2016.1,0.15,233
2026-08-02 15:12:28,11.1,83.6,1990.9,0.19,233
2026-08-02 15:12:33,7.2,83.8,1976.74,0.17,233
2026-08-02 15:12:38,15.5,82.2,2162.19,0.16,231
2026-08-02 15:12:43,32.7,84.2,1926.55,0.19,233
2026-08-02 15:12:48,21.3,84.7,1863.66,0.27,232
2026-08-02 15:12:53,18.4,84.9,1831.44,0.23,231
2026-08-02 15:12:58,24.7,83.5,2012.73,0.24,231
2026-08-02 15:13:03,16.6,83.7,1985.91,0.56,231
2026-08-02 15:13:08,18.5,83.9,1964.29,0.22,232
2026-08-02 15:13:13,21.1,83.0,2068.98,0.15,232
2026-08-02 15:13:18,16.7,82.0,2195.04,0.37,232
2026-08-02 15:13:23,24.7,82.1,2179.04,4.57,232
